ano,volume,numero,num_artigos
2010,9,2/,7
2011,10,1/,27
2011,10,2/,9
2012,11,1/,17
2012,11,2/,8
2013,12,1/,18
2013,12,2/,38
2014,13,1/,8
2014,13,2/,12
2015,14,1/,11
2015,14,2/,7
2016,15,1/,4
2016,15,2/,8
2016,15,3/,9
2016,15,4/,15
2017,16,1/,22
2017,16,2/,22
2017,16,3/,21
2017,16,4/,11
2018,17,1/,15
2018,17,2/,11
2018,17,3/,7
2018,17,4/,18
2019,18,1/,9
2019,18,2/,15
2019,18,3/,10
2019,18,4/,6
2020,19,1/,11
2020,19,2/,12
2020,19,3/,11
2020,19,4/,7
2021,20,1/,14
2021,20,2/,16
2021,20,3/,18
2021,20,4/,15
2022,21,1/,14
2022,21,2/,10
2022,21,3/,8
2022,21,4/,10
2023,22,1/,18
2023,22,2/,8
2023,22,3/,4
2023,22,4/,3
2024,23,1/,11
2024,23,2/,9
2024,23,3/,11
2024,23,4/,10
2025,24,1/,30
2025,24,2/,36
