ano,volume,numero,titulo_artigo,autores,palavras_chave,abstract,referencias,link
2025,24,1/,A Flexible UHF RFID Respiratory Sensor,,,,,
2025,24,1/,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,,,,,
2025,24,1/,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,,,,,
2025,24,1/,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,,,,,
2025,24,1/,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,,,,,
2025,24,1/,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,,,,,
2025,24,1/,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,,,,,
2025,24,1/,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,,,,,
2025,24,1/,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,,,,,
2025,24,1/,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,,,,,
2025,24,2/,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,,,,,
2025,24,2/,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,,,,,
2025,24,2/,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,,,,,
2025,24,2/,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,,,,,
2025,24,2/,Compact Top-Loaded Quarter-Cylinder Dielectric Resonator Antenna,,,,,
2025,24,2/,A Multiband Yagi-Uda Patch Antenna with Different Orders of Koch Fractal,,,,,
2025,24,2/,Stepped-fat Dipole Antenna for TV 3.0 Design and Outdoor Tests,,,,,
2025,24,2/,SAR Estimations in a Classroom with Wireless Computers,,,,,
2025,24,2/,Microwave Brain Lesion Detection and Localization Using Classification Algorithms,,,,,
2025,24,2/,High Sensitivity Optical Sensor Based on Surface Plasmon Effect on Graphene for Detection of DMSO Concentrations,,,,,
2025,24,2/,Use of the Micro-Doppler Effect in Classifying and Differentiating Drones from Birds,,,,,
2025,24,2/,Fully Textile Inked FSS for Wearable Applications,,,,,
2025,24,1/,A Flexible UHF RFID Respiratory Sensor,,,,,
2025,24,1/,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,,,,,
2025,24,1/,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,,,,,
2025,24,1/,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,,,,,
2025,24,1/,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,,,,,
2025,24,1/,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,,,,,
2025,24,1/,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,,,,,
2025,24,1/,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,,,,,
2025,24,1/,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,,,,,
2025,24,1/,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,,,,,
2025,24,2/,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,,,,,
2025,24,2/,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,,,,,
2025,24,2/,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,,,,,
2025,24,2/,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,,,,,
2025,24,2/,Compact Top-Loaded Quarter-Cylinder Dielectric Resonator Antenna,,,,,
2025,24,2/,A Multiband Yagi-Uda Patch Antenna with Different Orders of Koch Fractal,,,,,
2025,24,2/,Stepped-fat Dipole Antenna for TV 3.0 Design and Outdoor Tests,,,,,
2025,24,2/,SAR Estimations in a Classroom with Wireless Computers,,,,,
2025,24,2/,Microwave Brain Lesion Detection and Localization Using Classification Algorithms,,,,,
2025,24,2/,High Sensitivity Optical Sensor Based on Surface Plasmon Effect on Graphene for Detection of DMSO Concentrations,,,,,
2025,24,2/,Use of the Micro-Doppler Effect in Classifying and Differentiating Drones from Birds,,,,,
2025,24,2/,Fully Textile Inked FSS for Wearable Applications,,,,,
